pID,condition,comments
3,smallmultiples_overlays_shadowmarks,
4,smallmultiples_shadowmarks_overlays,
8,smallmultiples_shadowmarks_overlays,"I think to make the instructions easier to understand. For example, I didn't really understand what ""'close' means the length of the ball"" meant."
10,overlays_shadowmarks_smallmultiples,
14,shadowmarks_overlays_smallmultiples,
15,overlays_smallmultiples_shadowmarks,
22,smallmultiples_overlays_shadowmarks,
24,overlays_shadowmarks_smallmultiples,
27,shadowmarks_smallmultiples_overlays,
28,shadowmarks_overlays_smallmultiples,Nope! Cool study.
35,shadowmarks_smallmultiples_overlays,no
36,smallmultiples_overlays_shadowmarks,
37,smallmultiples_overlays_shadowmarks,
38,smallmultiples_shadowmarks_overlays,no
41,shadowmarks_smallmultiples_overlays,Using the mark was not to bad but the middle technique was hardest.
44,overlays_smallmultiples_shadowmarks,no
47,shadowmarks_overlays_smallmultiples,No comments or concerns.
49,overlays_shadowmarks_smallmultiples,
51,overlays_shadowmarks_smallmultiples,
52,smallmultiples_shadowmarks_overlays,
56,smallmultiples_shadowmarks_overlays,Thank you this was challenging.
57,overlays_smallmultiples_shadowmarks,"your program keep sayign was leaving the area , i was just going back and fourth to complete task"
58,shadowmarks_smallmultiples_overlays,
64,shadowmarks_overlays_smallmultiples,
73,shadowmarks_overlays_smallmultiples,
74,smallmultiples_overlays_shadowmarks,I did not know how to erase the shadow marks and when I tried to look up the information under the help menu the survey screen froze and I had to relaunch it.
81,shadowmarks_smallmultiples_overlays,Very tasking!
82,overlays_shadowmarks_smallmultiples,
83,overlays_smallmultiples_shadowmarks,
84,overlays_smallmultiples_shadowmarks,Video system keeps crashing and asking to re-load.
